dpi, nombres, apellidos, fec_nacimiento, direccion, telefono, email, genero, peso_libras, estado, id_tipo_persona
6052751122013,Tanney,Bickerstaffe,1991-09-27,287 Cascade Lane,69321748,tbickerstaffe3@ning.com,M,172,1,2
7334292970203,Vere,Slaughter,1980-05-14,87 Birchwood Crossing,99955841,vslaughter9@cyberchimps.com,F,168,1,2
7501617290123,Alfi,Tipling,1992-10-04,0811 Karstens Park,94974128,atipling0@google.es,F,120,1,2
8262908402203,Mycah,Carmont,1987-12-21,55 Bultman Court,99324251,mcarmonta@ebay.com,M,177,1,2
8485706560202,Colas,Quickenden,1993-01-10,5 Meadow Ridge Street,98480483,cquickenden7@addthis.com,M,155,1,2
8542089321103,Susanne,Fitzer,1986-11-27,4 Ridgeview Court,88192597,sfitzerb@facebook.com,F,125,1,2
8767631282023,Karlik,Cooksley,1991-07-30,9628 Packers Plaza,99261954,kcooksleyd@goodreads.com,M,172,1,2
8796485272222,Lorrie,Fairhead,1989-11-07,99 Anthes Crossing,88331703,lfairhead2@jugem.jp,F,115,1,2
9457378362113,Rowan,Capaldo,1992-07-11,651 Grayhawk Crossing,99350405,rcapaldoc@xing.com,M,165,1,2
9830241210222,Alvis,Fairburne,1984-10-20,235 Valley Edge Plaza,96222759,afairburne1@reference.com,M,170,1,2
