dpi, nombres, apellidos, fec_nacimiento, direccion, telefono, email, genero, peso_libras, estado, id_tipo_persona
3669658330202,Tiffani,Hefferan,1978-10-28,2 Hansons Junction,67299255,thefferan0@dailymail.co.uk,F,171,0,1
4119002041212,Field,Rubica,1978-08-31,5051 Veith Junction,79796166,frubica5@scribd.com,M,198,0,1
4355116870223,Even,Gladdor,1998-11-23,3 Manufacturers Trail,99911264,egladdorr@berkeley.edu,M,206,1,1
4455579690210,Edee,Isac,1984-06-13,4 Burning Wood Way,79126929,eisac28@diigo.com,F,162,1,1
5377856371120,Aurelie,Ord,1977-02-01,1 Golf View Circle,74099450,aord1n@skyrock.com,F,156,1,1
6052751122013,Tanney,Bickerstaffe,1991-09-27,287 Cascade Lane,69321748,tbickerstaffe3@ning.com,M,172,1,2
6071475412222,Rhoda,Isham,1993-04-14,037 Hanover Pass,78518599,risham1b@slate.com,F,142,0,1
6214670632223,Rozanna,Jeays,1991-12-09,111 Manitowish Avenue,59012982,rjeays23@theatlantic.com,F,148,0,1
6295733661223,Royall,Ray,1981-11-05,127 Cardinal Center,98458911,rray1q@nyu.edu,M,205,1,1
6415180661111,Martita,Rosenboim,1976-03-16,913 Magdeline Street,99076163,mrosenboiml@nydailynews.com,F,173,0,1
6524775062220,Benedetto,Drance,2000-03-18,44 Surrey Terrace,79985686,bdrance24@example.com,M,142,1,1
6786142092223,Shannon,Challes,1978-03-11,99 Dakota Avenue,99193672,schallesd@addtoany.com,F,180,1,1
6971989940103,Olly,Dearing,1979-08-26,2 Hoard Plaza,87718338,odearing4@miibeian.gov.cn,F,129,1,1
7058871452211,Kyle,Chooter,1991-02-28,0 Waxwing Crossing,99740179,kchooter1l@hugedomains.com,M,206,1,1
7077125932123,Bengt,Andreotti,1982-04-18,125 Farmco Street,99985931,bandreottih@pinterest.com,M,190,0,1
7266934750223,Kath,Sawl,1990-03-29,82 Monica Street,88411174,ksawl7@sun.com,F,107,1,1
7284235770021,Deana,Frankel,1994-04-11,92926 Burrows Point,79040794,dfrankel14@bizjournals.com,F,140,1,1
7334292970203,Vere,Slaughter,1980-05-14,87 Birchwood Crossing,99955841,vslaughter9@cyberchimps.com,F,168,1,2
7382755712103,Carolan,Pinchin,2000-04-18,86603 Moose Trail,99815909,cpinchin1s@kickstarter.com,F,134,0,1
7465066732023,Vita,Yurkiewicz,1996-10-28,77304 Miller Plaza,87088827,vyurkiewiczt@clickbank.net,F,197,1,1
7484662472223,Desi,Spiaggia,2001-02-21,6 Dapin Terrace,99510171,dspiaggia20@toplist.cz,M,195,1,1
7501617290123,Alfi,Tipling,1992-10-04,0811 Karstens Park,94974128,atipling0@google.es,F,120,1,2
7703126270223,Pincus,Sked,1975-07-16,3 High Crossing Plaza,98183280,psked1f@list-manage.com,M,117,0,1
7726291570211,Dede,Cortin,1981-08-19,972 Sherman Circle,97157228,dcortin2a@google.co.uk,F,138,1,1
7780358472123,Myrtie,Jacquemard,1992-01-28,67 Scott Drive,89426509,mjacquemard27@japanpost.jp,F,186,0,1
7830588762103,Gretchen,Cannon,1997-06-17,9 Erie Alley,99906676,gcannon1i@sciencedaily.com,F,190,1,1
7939775692123,Arman,Canon,1998-03-24,04718 Paget Terrace,97355317,acanonz@senate.gov,M,132,0,1
8115482820110,Earl,Barkas,1986-11-19,517 Cascade Park,99312554,ebarkasa@parallels.com,M,154,0,1
